Name,Latitude,Longitude
Taco Bell Propst Promenade 450 Colonial Promenade Parkway Alabaster AL 35007 United States of America,33.2339095,-86.8041284
Shelby County AL 35080 United States of America,33.2663,-86.902
Shelby County AL 35040 United States of America,33.1098,-86.756
Taco Bell 101 Cahaba Valley Parkway Pelham AL 35124 United States of America,33.335251,-86.7842813
Marshall County AL 35950 United States of America,34.2739,-86.2064
Marshall County AL 35957 United States of America,34.1921,-86.1941
1740 Gunter Avenue Mill Village Guntersville AL 35976 United States of America,34.3420432,-86.3082118
1264 North Brindlee Mountain Parkway Arab Marshall County AL 35016 United States of America,34.3396203,-86.5037932
Tallapoosa County AL 35010 United States of America,32.9164,-85.9368
McS Boulevard Sylacauga AL 35150 United States of America,33.1724153,-86.281895
Gilmer Avenue Tallassee Elmore County AL 36078 United States of America,32.552365,-85.921144
Taco Bell 5903 US 231;AL 21 Blueberry Hill Wetumpka AL 36092 United States of America,32.5263614,-86.2074619
Covington County AL 36420 United States of America,31.2971,-86.4905
KFC 840 Liberty Hill Drive Evergreen AL 36401 United States of America,31.4548092,-86.9621466
2150 Douglas Avenue Brewton Escambia County AL 36426 United States of America,31.140349,-87.0687237
North Ferdon Boulevard Crestview FL 32536 United States of America,30.7944985,-86.5572513
McDonald's 5550 McClellan Boulevard Anniston AL 36206 United States of America,33.718786,-85.8186975
Taco Bell 1611 Pelham Road South Bonny Brook Jacksonville AL 36265 United States of America,33.7884612,-85.761915
Taco Bell 504 Hamric Drive East Oxford AL 36203 United States of America,33.608158,-85.830015
Calhoun County AL 36203 United States of America,33.5815,-85.8328
1264 North Brindlee Mountain Parkway Arab Marshall County AL 35016 United States of America,34.3396203,-86.5037932
1740 Gunter Avenue Mill Village Guntersville AL 35976 United States of America,34.3420432,-86.3082118
Marshall County AL 35950 United States of America,34.2739,-86.2064
Taco Bell 11300 Memorial Parkway Southwest English Village Huntsville AL 35803 United States of America,34.6237444,-86.5677221
Limestone County AL 35611 United States of America,34.8036,-86.9707
Limestone County AL 35611 United States of America,34.8036,-86.9707
Escambia County AL 36502 United States of America,31.0572,-87.4873
Baldwin County AL 36507 United States of America,30.8635,-87.7644
2150 Douglas Avenue Brewton Escambia County AL 36426 United States of America,31.140349,-87.0687237
State Rte 181 Spanish Fort AL United States of America,30.664518,-87.852053
519 Cleveland Avenue Attalla AL 35954 United States of America,34.0178342,-86.0792594
579 East Meighan Boulevard Gadsden AL 35903 United States of America,34.0081266,-85.9836314
Etowah County AL 35907 United States of America,33.8979,-86.0245
Etowah County AL 35903 United States of America,33.9845,-85.9077
North Donahue Drive Auburn AL 36832 United States of America,32.6456819,-85.5103147
1521 East Glenn Avenue Auburn AL 36830 United States of America,32.608996,-85.4494031
2027 South College Street Conner Estates Auburn AL 36832 United States of America,32.567258,-85.5016242
Taco Bell 271 South Gay Street Auburn AL 36830 United States of America,32.6017506,-85.4796213
Baldwin County AL 36507 United States of America,30.8635,-87.7644
State Rte 181 Spanish Fort AL United States of America,30.664518,-87.852053
Old US Hwy 43 Saraland AL United States of America,30.824011,-88.069441
Government St Mobile AL United States of America,30.686759,-88.05202
1004 Academy Drive Bessemer AL 35022 United States of America,33.3693524,-87.0069109
Taco Bell Promenade Tannehill Shopping Center 5050 Bond Boulevard Bessemer AL 35022 United States of America,33.333403,-86.9958636
Taco Bell 710 9th Avenue North Skyview Bessemer AL 35020 United States of America,33.3936458,-86.9726679
Taco Bell 1101 Forestdale Boulevard Birmingham AL 35214 United States of America,33.5578614,-86.8895792
Taco Bell 1541 Montclair Road Crestview Hills Birmingham AL 35210 United States of America,33.5237402,-86.7250928
Taco Bell 2124 7th Avenue South Highland Residence Park Birmingham AL 35233 United States of America,33.5073129,-86.7974184
2300 Bessemer Road Ensley Highlands Birmingham AL 35208 United States of America,33.4973439,-86.8762138
Taco Bell 381 Palisades Boulevard Birmingham AL 35209 United States of America,33.4685841,-86.8185833
Shelby County AL 35242 United States of America,33.3813,-86.7046
Shelby County AL 35242 United States of America,33.3813,-86.7046
Taco Bell 6806 Tattersall Way Birmingham AL 35242 United States of America,33.4238591,-86.6690188
9509 Parkway East Birmingham AL 35215 United States of America,33.5950975,-86.6949537
Marshall County AL 35957 United States of America,34.1921,-86.1941
Marshall County AL 35950 United States of America,34.2739,-86.2064
1740 Gunter Avenue Mill Village Guntersville AL 35976 United States of America,34.3420432,-86.3082118
519 Cleveland Avenue Attalla AL 35954 United States of America,34.0178342,-86.0792594
2150 Douglas Avenue Brewton Escambia County AL 36426 United States of America,31.140349,-87.0687237
KFC 840 Liberty Hill Drive Evergreen AL 36401 United States of America,31.4548092,-86.9621466
Escambia County AL 36502 United States of America,31.0572,-87.4873
Covington County AL 36420 United States of America,31.2971,-86.4905
Shelby County AL 35040 United States of America,33.1098,-86.756
Taco Bell Propst Promenade 450 Colonial Promenade Parkway Alabaster AL 35007 United States of America,33.2339095,-86.8041284
915 Main Street Montevallo Shelby County AL 35115 United States of America,33.101767,-86.8609833
