Name,Latitude,Longitude
Taco Bell 950 Talbot Street St. Thomas ON N5R 4M2 Canada,42.7785353,-81.1801738
Sardis Chilliwack BC V2R 3C7 Canada,49.142767,-121.971107
Whitby ON Canada,43.88342,-78.93287
Hamilton ON Canada,43.25011,-79.84963
Dougall Avenue Windsor ON N9G 1A3 Canada,42.2617207,-83.0067202
422 Bayly Street West Ajax ON L1S 3R2 Canada,43.8407643,-79.0337249
1655 Manning Road Tecumseh ON N9K 1C7 Canada,42.3045652,-82.8697786
2021 Algonquin Avenue North Bay ON P1B 4Z3 Canada,46.3327792,-79.4667443
68 King George Road Brantford ON N3R 5K4 Canada,43.1646506,-80.2743943
Newton Delta BC V4C 6R4 Canada,49.159273,-122.891301
Homer Watson Boulevard Kitchener ON N2P 2A4 Canada,43.3954286,-80.4321683
Tecumseh Road East Windsor ON N8W 1L9 Canada,42.3023415,-82.9946608
Simcoe Street North Oshawa ON L1L 0R1 Canada,43.9665973,-78.9042804
College Street Old Toronto ON M5S 1B2 Canada,43.6605402,-79.387308
Gateway Boulevard NW Edmonton AB T6E 4E1 Canada,53.5135103,-113.4944713
Tecumseh Road East Windsor ON N8W 2V4 Canada,42.3011932,-83.0004259
1850 Adelaide Street North London ON N5X 4K6 Canada,43.0464265,-81.2605867
Nicomekl Langley BC V2Y 1G9 Canada,49.119525,-122.671235
Taco Bell 1090 Bloor Street West Old Toronto ON M6H 1M6 Canada,43.6602772,-79.4339813
2160 Rymal Road East Hamilton ON L8J 3Z5 Canada,43.17556,-79.7874179
391 Weber Street North Waterloo ON N2J 3J8 Canada,43.4838158,-80.5247839
London ON Canada,42.98339,-81.23304
656 Colborne Street Brantford ON N3S 3M8 Canada,43.1412605,-80.2380378
Memory Express 1550 Upper James Street Hamilton ON L9B 2L6 Canada,43.2052169,-79.8953837
Eagle Ridge Coquitlam BC V3B 6J6 Canada,49.276925,-122.795045
Innes Orleans ON K1C 1T1 Canada,45.449396,-75.52056
4804 Yonge Street Toronto ON M2N 5X2 Canada,43.7616371,-79.4111468
6707 Tecumseh Road East Windsor ON N8T 1E6 Canada,42.3116702,-82.9442958
300 Mitchell Road South North Perth ON N4W 2B4 Canada,43.732735,-80.9679408
Chinguacousy Brampton ON L7A 2X6 Canada,43.696439,-79.799479
City Pizza 20 Woodlawn Road East Guelph ON N1H 1G7 Canada,43.5673523,-80.2757649
Westgate Drive Grande Prairie AB T8V 5M6 Canada,55.1706965,-118.8396578
Newton Surrey BC V3W 2R5 Canada,49.135247,-122.846034
Bramalea Brampton ON L6S 0C5 Canada,43.76099,-79.720749
KFC Dickinson Crossing 6896 Island Highway North Nanaimo BC V9V 1P6 Canada,49.2395787,-124.051167
1020 Wonderland Road South London ON N6K 3S4 Canada,42.9402264,-81.2800895
University Avenue Orillia ON L3V 8B3 Canada,44.5984139,-79.4530732
1620 Birchmount Road Toronto ON M1P 2W1 Canada,43.7630773,-79.2915215
744 Queenston Road Hamilton ON L8G 1A1 Canada,43.2289552,-79.7692435
1145 Highbury Avenue North London ON N5Y 3W7 Canada,43.013881,-81.212452
Surrey BC V3R 4E7 Canada,49.16799,-122.80076
555 Notre Dame Drive Kamloops BC V2C 1E6 Canada,50.663336,-120.352576
Cold Lake AB Canada,54.46525,-110.18154
9465 Mississauga Road Brampton ON L6X 0B3 Canada,43.6565305,-79.814247
336 North Front Street Belleville ON K8P 3C4 Canada,44.1860191,-77.3954331
930 Guelph ON N1K 1T2 Canada,43.5342452,-80.3184202
Station Mall 293 Bay Street Sault Ste. Marie ON P6A 1X3 Canada,46.5127969,-84.3391932
Waverly Oshawa ON L1J 2K5 Canada,43.890516,-78.879182
Taco Bell 45 Cherrycrest Drive Brampton ON L6P 3W4 Canada,43.7639969,-79.6688601
7028 Yonge Street Vaughan ON L3T 2A5 Canada,43.7981529,-79.4202986
McDonald's 1070 Major MacKenzie Drive East Richmond Hill ON L4S 1P3 Canada,43.8769026,-79.408717
3979 Jane Street Toronto ON M3N 2V2 Canada,43.7568779,-79.5174397
Cataraqui Centre 945 Gardiners Road Kingston ON K7M 7H4 Canada,44.2563685,-76.5711571
Taco Bell 1668 Bath Road Kingston ON K7M 4X9 Canada,44.2377176,-76.5691367
Bramalea City Centre 25 Peel Centre Drive Brampton ON L6T 4G8 Canada,43.7155895,-79.722585
7161 Goreway Drive Mississauga ON L4T 4H3 Canada,43.7168879,-79.6359087
Whitehaven Nepean ON K2B 8C1 Canada,45.346464,-75.806669
Silvertown Niagara Falls ON L2G 1V1 Canada,43.089914,-79.104576
Bayshore Shopping Centre 100 Bayshore Drive Ottawa ON K2B 8C1 Canada,45.347392,-75.8062569
CF Fairview Mall 1800 Sheppard Avenue East Toronto ON M2J 5A7 Canada,43.7777608,-79.3442922
Taco Bell 4431 Highway 7 Vaughan ON L4L 5W6 Canada,43.7839866,-79.5703587
Commerce Road Kawartha Lakes ON K9V 6L1 Canada,44.3473387,-78.7606932
Taco Bell 29 Warne Crescent Kingston ON K7K 5A6 Canada,44.2669794,-76.5000515
185 Pinehurst Road Paris ON N3L 3R7 Canada,43.2181931,-80.3921203
Taco Bell 461 Hazeldean Road Ottawa ON K2L 1V1 Canada,45.2995473,-75.8867496
329 Main Street East Kingsville ON N9Y 2K6 Canada,42.0381762,-82.724537
Scarborough Town Centre 300 Borough Drive Toronto ON M1P 5J5 Canada,43.7761341,-79.2584376
Square One 100 City Centre Drive Mississauga ON L5B 2N5 Canada,43.5927565,-79.6434371
Metro 1101 Arthur Street West Thunder Bay ON P7E 5S2 Canada,48.3822528,-89.3069891
Taco Bell 985 Eglinton Avenue East Mississauga ON L4W 4H3 Canada,43.626604,-79.631538
Guelph ON Canada,43.54594,-80.25599
6364 Yonge Street Toronto ON M2M 3X7 Canada,43.7957899,-79.419678
Cambridge Centre 355 Hespeler Road Cambridge ON N1R 6J1 Canada,43.3931196,-80.3195995
Ouellette Avenue Windsor ON N8X 1J0 Canada,42.304592,-83.0307003
Malvern Town Centre 31 Tapscott Road Toronto ON M1B 4Y7 Canada,43.8067765,-79.2220259
Quantztown Markham ON L3R 4M9 Canada,43.868325,-79.28839
Ninth Street West Cornwall ON K6J 0B3 Canada,45.0258681,-74.7446059
Burlington Centre 777 Guelph Line Burlington ON L7R 3N5 Canada,43.3483221,-79.7941126
Meadowvale Village Brampton ON L6Y 1N7 Canada,43.665697,-79.736787
Hemisphere Cannabis 65 Front Street East Old Toronto ON M5E 1B8 Canada,43.6483753,-79.3735627
Devonshire Mall 3100 Howard Avenue Windsor ON N8X 3Y8 Canada,42.2749922,-83.002179
Canada Post 2225 Erin Mills Parkway Mississauga ON L5K 2T0 Canada,43.5301576,-79.6540377
1727 Albion Road Toronto ON M9V 1C3 Canada,43.7432324,-79.6025275
379 Ontario Street St. Catharines ON L2R 5L3 Canada,43.1753519,-79.2663029
Taylor's Convenience Store 1644 Dufferin Avenue Wallaceburg ON N8A 2X2 Canada,42.5937632,-82.4033065
Food Basics 3770 Montrose Road Niagara Falls ON L2H 3C8 Canada,43.1168333,-79.1230805
1338 Kennedy Road Toronto ON M1P 4V6 Canada,43.7611263,-79.2795671
260 Indian Road South Sarnia ON N7T 1J5 Canada,42.965611,-82.3760404
Chatr 2 King Street West Hamilton ON L4P 4W7 Canada,43.2584195,-79.8700886
McDonald's 3495 Lawrence Avenue East Toronto ON M1H 1B3 Canada,43.7572225,-79.2291917
New Sudbury Centre 1349 Lasalle Boulevard Greater Sudbury ON P3A 3T9 Canada,46.5199349,-80.9458947
1337 London Road Sarnia ON N7S 5A1 Canada,42.9799395,-82.355684
West Hill Belleville ON K8P 3C9 Canada,44.188903,-77.397301
CF Fairview Park 2960 Kingsway Drive Kitchener ON N2C 1X1 Canada,43.4246668,-80.4389772
644 Garrison Road Fort Erie ON L2A 1N4 Canada,42.9054943,-78.9395806
KFC 1 Bass Pro Mills Drive Vaughan ON L4K 5W4 Canada,43.8254682,-79.5383086
Orangeville ON L9W 1J4 Canada,43.920647,-80.089741
Taco Bell 500 Spence Avenue Hawkesbury ON K6A 2Y3 Canada,45.5978687,-74.6098101
Hanes Road Huntsville ON P1H 1M5 Canada,45.3361317,-79.2318729
245 Morningside Avenue Toronto ON M1E 4S6 Canada,43.7688219,-79.1857513
Tall Trees Barrie ON L4M 3C2 Canada,44.401572,-79.699976
Saskatoon SK Canada,52.11679,-106.63452
1610 The Queensway Toronto ON M8Z 1V1 Canada,43.617141,-79.5437821
424 South Service Road Grimsby ON L3M 4E8 Canada,43.2053877,-79.597863
Huron Church Road Windsor ON N9E 3K5 Canada,42.2612052,-83.0411177
Pickering Town Centre 1355 Kingston Road Pickering ON L1V 1W2 Canada,43.8356396,-79.0870753
1680 Richmond Street London ON N6A 4G9 Canada,43.023662,-81.280857
22nd Street West Saskatoon SK S7M 1L2 Canada,52.1292408,-106.7587747
Stonehaven Newmarket ON L3Y 4Z1 Canada,44.055236,-79.484175
Yonge-Eglinton Centre 2300 Yonge Street Old Toronto ON M4P 1E4 Canada,43.7073497,-79.3993496
Taco Bell 644 Yonge Street Barrie ON L4N 4E6 Canada,44.3554086,-79.6447986
166 Simcoe Street Tillsonburg ON N4G 2S3 Canada,42.8579493,-80.7071219
Fairville Boulevard Saint John NB E2M 0G8 Canada,45.2534288,-66.09631
Ultramar 11 Sinclair Boulevard Brantford ON N3S 7X6 Canada,43.1707479,-80.2152511
16599 Yonge Street Newmarket ON L3X 1V6 Canada,44.0326836,-79.4749411
328 St. Clair Street Chatham ON N7L 1J5 Canada,42.4132433,-82.1979692
Crawford's Grove Peterborough ON K9J 1Z1 Canada,44.285709,-78.329039
MARIE Sault Ste. Marie ON P6B 4Z8 Canada,46.53658,-84.319746
Taco Bell 3777 Keele Street Toronto ON M3J 1N6 Canada,43.7588163,-79.4892208
KFC 281 Main Street Wasaga Beach ON L9Z 2N6 Canada,44.5233181,-80.0094226
1915 Hyde Park Road London ON N6H 0K1 Canada,43.0070702,-81.3360456
Cineplex Cinemas Fredericton Regent Mall 1381 Regent Street Fredericton NB E3C 1A2 Canada,45.9348222,-66.6654291
